,token,like,count,like_count
0,가게,1000.0,1,1000.0
1,가기,1000.0,1,1000.0
2,가로수,143.0,1,143.0
3,가수,30000.0,8,3750.0
4,가슴,10080.0,2,5040.0
5,가십,4000.0,1,4000.0
6,가오리,298.0,1,298.0
7,가요,111.0,1,111.0
8,가을,63.0,1,63.0
9,가족,10000.0,1,10000.0
10,가평,773.0,1,773.0
11,각종,9000.0,1,9000.0
12,간식,521.0,1,521.0
13,간장,659.0,2,329.5
14,감동,6000.0,1,6000.0
15,감성,70.0,1,70.0
16,감정,182.0,1,182.0
17,강남,10857.0,2,5428.5
18,강성,1000.0,1,1000.0
19,강제,366.0,1,366.0
20,개미,63.0,1,63.0
21,개통,570.0,1,570.0
22,개헌,174.0,1,174.0
23,거미,2000.0,1,2000.0
24,건강,80.0,1,80.0
25,걸이,4000.0,1,4000.0
26,게임,1208.0,2,604.0
27,게장,366.0,1,366.0
28,격정적,9000.0,1,9000.0
29,결과,580.0,1,580.0
30,결국,2000.0,1,2000.0
31,결심,823.0,1,823.0
32,경과,912.0,1,912.0
33,경구,698.0,1,698.0
35,경주,3000.0,1,3000.0
36,경호원,60.0,1,60.0
37,경희대,2000.0,1,2000.0
38,계란,730.0,1,730.0
39,계란찜,180.0,1,180.0
40,계속,269.0,1,269.0
41,계약서,1000.0,1,1000.0
42,고기,7862.0,5,1572.4
43,고독,1240.0,2,620.0
44,고두,1000.0,1,1000.0
45,고등,149.0,1,149.0
46,고등학교,8000.0,1,8000.0
47,고무,200.0,1,200.0
48,고문,2313.0,7,330.42857142857144
49,고민,3000.0,2,1500.0
50,고백,2916.0,5,583.2
52,고속,413.0,3,137.66666666666666
54,고양이,9000.0,1,9000.0
56,고정,2000.0,1,2000.0
57,고혈압,55.0,1,55.0
58,곡성,89.0,1,89.0
59,공개,18454.0,10,1845.4
60,공대,8000.0,1,8000.0
61,공략,4000.0,1,4000.0
62,공룡,408.0,1,408.0
63,공부,1000.0,1,1000.0
64,공신,1000.0,1,1000.0
65,공원,8000.0,2,4000.0
66,과정,6000.0,1,6000.0
67,관계,71.0,1,71.0
68,관리,82.0,1,82.0
69,광장,63.0,1,63.0
70,교복,8000.0,1,8000.0
71,교실,20000.0,2,10000.0
73,구라,13050.0,16,815.625
74,구매,5.0,1,5.0
75,구원,72.0,1,72.0
76,구원자,72.0,1,72.0
77,구이,327.0,2,163.5
78,구제,63.0,1,63.0
79,국내,1000.0,1,1000.0
80,국물,241.0,1,241.0
81,국민,1297.0,2,648.5
82,궁녀,948.0,1,948.0
83,귀신,3000.0,1,3000.0
84,귀염,356.0,1,356.0
85,그라운드,10312.0,2,5156.0
86,그로,2000.0,1,2000.0
87,그루,10000.0,1,10000.0
88,그룹,17047.0,6,2841.1666666666665
89,그린,749.0,1,749.0
90,극복,70.0,1,70.0
91,근본,41570.0,7,5938.571428571428
92,근육,5000.0,2,2500.0
93,글라이딩,4000.0,1,4000.0
94,금메달,4000.0,1,4000.0
95,기가,897.0,1,897.0
96,기기,656.0,3,218.66666666666666
97,기류,1000.0,1,1000.0
98,기모,302.0,1,302.0
99,기법,698.0,1,698.0
100,기분,1000.0,1,1000.0
101,기생충,7000.0,1,7000.0
102,기습,859.0,1,859.0
103,기승,1069.0,2,534.5
104,기용,10000.0,2,5000.0
105,기우,7000.0,1,7000.0
106,기절,30000.0,1,30000.0
107,길거리,76.0,1,76.0
108,김기범,3079.0,3,1026.3333333333333
109,김장,1000.0,1,1000.0
110,꼬꼬마,1000.0,1,1000.0
111,나도,20174.0,2,10087.0
112,나래,758.0,1,758.0
113,나비,20.0,1,20.0
114,나의,24841.0,7,3548.714285714286
116,나트랑,171.0,1,171.0
117,난리,99.0,1,99.0
118,남녀,2498.0,4,624.5
119,남성,2000.0,1,2000.0
121,남자,188255.0,58,3245.7758620689656
122,남친,40597.0,15,2706.4666666666667
123,남편,6000.0,1,6000.0
124,내가,10000.0,2,5000.0
125,내고,30000.0,1,30000.0
126,내도,115.0,1,115.0
127,내일,1049.0,2,524.5
128,냉채,87.0,1,87.0
130,넥타이,20.0,1,20.0
131,노래방,36000.0,9,4000.0
132,노르웨이,730.0,1,730.0
133,노마,22.0,1,22.0
134,노트,566.0,1,566.0
135,녹수,312.0,1,312.0
136,놀이,7000.0,1,7000.0
137,농업,286.0,1,286.0
138,누나,2000.0,1,2000.0
139,누명,8000.0,1,8000.0
140,눈물,17000.0,3,5666.666666666667
141,눈웃음,40.0,1,40.0
142,느낌,60888.0,3,20296.0
144,다니엘,9000.0,1,9000.0
145,다비,6000.0,1,6000.0
146,다음날,629.0,1,629.0
147,다이어,580.0,1,580.0
148,다이어트,12636.0,8,1579.5
149,다중,580.0,1,580.0
150,단어,225.0,2,112.5
151,닭볶음탕,180.0,1,180.0
152,당시,406.0,1,406.0
153,당일,773.0,1,773.0
154,당장,171.0,1,171.0
155,당황,10758.0,2,5379.0
156,대리,344.0,1,344.0
157,대박,1311.0,3,437.0
158,대배우,10000.0,1,10000.0
160,대세,96116.0,15,6407.733333333334
161,대식,1000.0,1,1000.0
162,대자연,72.0,1,72.0
163,대잔치,182.0,1,182.0
164,대처,3357.0,2,1678.5
165,대통령,140000.0,2,70000.0
166,대학교,550.0,1,550.0
167,대화,773.0,1,773.0
168,댄스,29408.0,4,7352.0
169,더블,698.0,1,698.0
170,덕행,4000.0,1,4000.0
171,덮밥,552.0,2,276.0
172,데드,89.0,1,89.0
173,데뷔,10000.0,3,3333.3333333333335
174,데이,7.0,1,7.0
175,데이트,191719.0,18,10651.055555555555
176,데이팅,10000.0,1,10000.0
177,도시락,1000.0,1,1000.0
178,돈가스,1000.0,1,1000.0
179,돌이,15084.0,3,5028.0
180,돌파,408.0,1,408.0
182,동거,72.0,1,72.0
183,동방,1000.0,1,1000.0
184,동백꽃,6000.0,1,6000.0
185,동석,2782.0,3,927.3333333333334
186,동심,1977.0,2,988.5
187,동안,280.0,1,280.0
188,동여,10000.0,1,10000.0
189,동의어,199.0,1,199.0
190,동한,3000.0,1,3000.0
191,동행,10000.0,1,10000.0
192,드라마,16223.0,9,1802.5555555555557
193,드라이,664.0,1,664.0
194,드라이브,6000.0,1,6000.0
195,드레서,126.0,1,126.0
196,드림,406.0,1,406.0
197,등장,3072.0,2,1536.0
198,디자이너,250.0,2,125.0
199,똘기,7.0,1,7.0
