,Unnamed: 0,title,view,like,unlike,date,token
0,0,밴디트가 영화 보다 턱 빠진 이유는❓※고혈압 주의※ | BVNDIT | 이연 | 승은 | 조진웅 | 이하늬 | 블랙머니 | 표정리뷰,3775.0,55.0,5.0,2019. 12. 6.,"['블랙', '승은', '고혈압', '하늬', '머니', '이연', '주의', '영화', '조진', '이유', '정리']"
1,1,대자연의 날을 구원해줄 구원자의 등장 feat생리 전 PMS 내 맘을 알아주는 원스인어문딩고,2487.0,72.0,1.0,2019. 11. 30.,"['구원', '생리', '등장', '대자연', '인어', '구원자']"
2,2,퇴사 후 제주 한 달 살이 브이로그✨  소리 꼭 켜고 봐야함,62450.0,662.0,4.0,2019. 11. 29.,"['소리', '로그', '퇴사', '제주', '브이', '살이']"
3,3,캠핑 브이로그 일에 지쳐 숲 속 캠핑을 떠나는 그녀의 하루,65091.0,182.0,2.0,2019. 11. 27.,"['캠핑', '하루', '브이']"
4,4,안영미의 차원이 다른 리액션 대파티♨️ 솔직입담 무삭제버전 개멋지다 이언니feat생리 전 PMS 내 맘을 알아주는 원스인어문 l 고백부스딩고,531503.0,1000.0,632.0,2019. 11. 13.,"['삭제', '고백', '영미', '차원', '생리', '언니', '버전', '파티', '부스', '인어']"
5,5,세상에 하나뿐인 인생샷스튜디오에서 사진을 찍는다면 feat숙명여자대학교 | What if I met my Glamourshot,428789.0,550.0,144.0,2019. 11. 10.,"['인생', '숙명', '세상', '스튜디오', '대학교', '여자', '사진']"
6,6,부산 광안리에서 당신의 그 날을 고백하세요 feat생리 전 PMS 내 맘을 알아주는 원스인어문 l 고백부스 부산편 l 딩고,205306.0,204.0,59.0,2019. 11. 8.,"['고백', '생리', '부산', '부스', '인어']"
7,7,서울 한강 공원 한복판에 고백부스가 설치됐다 feat생리 전 PMS 내 맘을 알아주는 원스인어문 l  고백부스 서울편 l 딩고,394583.0,1000.0,589.0,2019. 11. 6.,"['설치', '공원', '한복판', '고백', '생리', '서울', '부스', '인어']"
8,8,신조어 맞히랬더니 거의 단어 재창조한 권상우 우도환ㅋㅋㅋㅋ | 키워드 워리어 | 신의 한 수: 귀수편,5897.0,193.0,2.0,2019. 10. 30.,"['창조', '단어', '상우', '키워드', '수편', '신조어']"
9,9,특히 귀 호강하는 이번주의 딩고 핫클립모음 | 딩고ZIP | 10월 넷째 주,2719.0,50.0,5.0,2019. 10. 27.,"['이번', '모음', '주의', '클립', '호강']"
10,10,이번 주는 처돌이들 다 드루와 니엘이 침앤펄 오반 건나블리 그리고 라이크 까지 핫클립모음 | 딩고ZIP | 10월 셋째 주,2544.0,84.0,0.0,2019. 10. 20.,"['이번', '돌이', '모음', '오반', '라이크', '클립']"
11,11,위기 탈출 새로운 시작 | 썸남 EP 후반부 하이라이트 | 장기용 최우식의 브로맨스 웹드라마,3136.0,61.0,1.0,2019. 10. 17.,"['후반부', '탈출', '하이라이트', '장기', '위기', '드라마', '시작']"
12,12,생리 전 다중인격vs살벌하게 소리치는 상사_결과는 feat생리 전 PMS 내 맘을 알아주는 원스인어문 EP02 마이빡다이어리딩고,655835.0,580.0,242.0,2019. 10. 17.,"['살벌', '결과', '마이', '생리', '리딩', '다중', '인격', '다이어', '인어', '상사']"
13,13,홈바바이브 터지는 키친 메이크오버 feat비스포크,4208.0,64.0,3.0,2019. 10. 16.,"['이브', '포크', '오버', '키친']"
14,14,3_꽃인턴 | 연예인들의 회사 체험기 딩고 꽃 인턴 모음 | 딩고 시리즈堂,2752.0,114.0,3.0,2019. 10. 16.,"['체험', '회사', '모음', '연예인', '인턴', '시리즈']"
15,15,웹드라마 로봇이 아닙니다 속 남사친의 정석 정성윤 | 로봇이 아닙니다 | 정성윤 모아보기,3510.0,120.0,0.0,2019. 10. 15.,"['정성', '로봇', '정석', '사친', '드라마']"
16,16,강다니엘이 갑자기 고양이 소리를 낸 이유는다녤이 한 번 웃어줄 때마다 딩고 심장 쿵 하고 내려 앉았자나ㅠㅠ / 50色 강다니엘,80180.0,9000.0,57.0,2019. 10. 14.,"['다니엘', '고양이', '심장', '소리']"
17,17,음악 드라마 예능 다 하는 콘텐츠 맛집 딩고의 핫클립모음 | 딩고ZIP | 10월 둘째 주,1816.0,52.0,2.0,2019. 10. 13.,"['고의', '예능', '모음', '콘텐츠', '드라마', '클립', '음악']"
18,18,꼭 한 쪽 가슴 잘라내야 돼한국유방건강재단핑크리본캠페인,3723.0,80.0,1.0,2019. 10. 11.,"['유방', '핑크', '재단', '건강', '한국', '리본', '캠페인', '가슴']"
19,19,이제는 스킨십이 너무 자연스러워진 두 남자 | 썸남 EP78 하이라이트 | 장기용 최우식의 브로맨스 웹드라마,3707.0,79.0,2.0,2019. 10. 10.,"['자연', '하이라이트', '장기', '스킨십', '드라마', '이제', '남자']"
20,20,2_의리게임 | 카메라 밖에서 내 아이돌의 의리는 | 딩고 시리즈堂,3917.0,208.0,1.0,2019. 10. 9.,"['아이', '게임', '카메라', '시리즈', '의리']"
21,21,로봇한테 이렇게 설레도 되는거야 | 로봇이 아닙니다 | 안도영 모아보기,3136.0,127.0,1.0,2019. 10. 8.,['로봇']
22,22,침앤펄로 킹 받고 시작하는 지난 주 핫클립모음 | 딩고ZIP | 10월 첫째 주,2265.0,74.0,4.0,2019. 10. 6.,"['모음', '클립']"
23,23,이 콘텐츠들 도대체 뭐얔ㅋㅋㅋㅋㅋ 딩고가 준비한 병맛 모아주ZIP  | 딩고ZIP | 병맛 편,3682.0,75.0,3.0,2019. 10. 3.,"['콘텐츠', '준비']"
24,24,점점 깊어지는 두 남자의 관계 | 썸남 EP56 하이라이트 | 장기용 최우식의 브로맨스 웹드라마,3001.0,71.0,3.0,2019. 10. 3.,"['하이라이트', '장기', '드라마', '관계', '남자']"
25,25,1_딩고문고 | 눈과 귀의 즐거움을 한 번에 느낄 수 있는 감성 영상 | 딩고 시리즈堂,3122.0,70.0,1.0,2019. 10. 2.,"['고문', '감성', '즐거움', '영상', '시리즈']"
26,26,웹드에서도 시원한 도카콜라 도아 얼굴 보다가 시간 순삭 주의 | 로봇이 아닙니다 | 한여름 모아보기,12952.0,354.0,5.0,2019. 10. 1.,"['순삭', '주의', '로봇', '얼굴', '한여름', '콜라', '시간']"
27,27,딩고 새 웹드 그리고 침앤펄의 킬링팟 지난 주 딩고의 핫클립모음 | 딩고ZIP | 9월 넷째 주,1999.0,41.0,3.0,2019. 9. 29.,"['고의', '모음', '클립']"
28,28,조회수 상승 소취 조회수 올려주ZIP  | 딩고ZIP | 조회수 낮은 편,2918.0,71.0,1.0,2019. 9. 26.,"['상승', '소취', '회수']"
29,29,남사친한테 고백받아본 적 있는 사람 썰스데이4_레전드 썰,8134.0,179.0,2.0,2019. 9. 26.,"['사람', '고백', '사친']"
30,30,친구들 앞에서 성형한 사실을 들켜버렸다 썰스데이3_레전드 썰,7475.0,179.0,1.0,2019. 9. 24.,"['성형', '사실', '친구']"
31,31,더세로크리에이터 최종 수상작 발표 l The sero l 세로영상,2825.0,57.0,1.0,2019. 9. 23.,"['최종', '세로', '크리', '발표', '영상', '수상작']"
32,32,웃겼다가 심쿵했다가 난리나는 이번 주 딩고 핫클립모음 | 딩고ZIP | 9월 셋째 주,2559.0,99.0,0.0,2019. 9. 22.,"['난리', '모음', '이번', '클립']"
33,33,구제 명품을 만 오천원에 겟할 수 있다구 가을코디는 여기에서 개미는 오늘도 EP04 광장시장편,7379.0,63.0,13.0,2019. 9. 20.,"['광장', '코디', '오늘', '명품', '가을', '시장', '구제', '개미']"
34,34,딩고에서 만드는 콘텐츠가 뭐가 있냐고 물으신다면 핫클립모음 | 딩고ZIP | 9월 둘째 주,2902.0,58.0,2.0,2019. 9. 19.,"['모음', '콘텐츠', '클립']"
35,35,소심이들 감정 이입돼서 댓글 대잔치 열렸던 바로 그 웹드 | 로봇이 아닙니다 | 차가은 모아보기,5672.0,182.0,2.0,2019. 9. 19.,"['이입', '감정', '차가', '로봇', '소심', '대잔치']"
36,36,뜨겁게 시작된 두 남자의 동거 브로맨스의 시작 | 썸남 EP34 하이라이트 |,3443.0,72.0,0.0,2019. 9. 19.,"['동거', '시작', '하이라이트', '남자']"
37,37,국민개통령 강형욱의 근본없는인터뷰 ㅋㅋㅋㅋ 딩고PD가 강형욱한테 혼난 사연은 근본없는인터뷰 강형욱편,47176.0,570.0,33.0,2019. 9. 16.,"['사연', '근본', '인터뷰', '개통', '국민']"
38,38,딩고 직원들 술안주 먹이는 몰카부터 CIX 새싹이들의 음향사고 세잘지2의 핫한 키스씬까지 핫클립모음  | 딩고ZIP | 9월 첫째 주,6551.0,136.0,0.0,2019. 9. 12.,"['사고', '새싹', '모음', '직원', '키스', '음향', '클립', '술안주']"
39,39,벽 하나를 둔 두 남자의 첫 만남 둘이 도대체 무슨 사이야 | 썸남 EP12 하이라이트 |,3575.0,73.0,2.0,2019. 9. 12.,"['하이라이트', '하나', '만남', '사이', '남자']"
40,40,딩고가 역대급 조회수 영상들 모아주ZIP  | 딩고ZIP | 조회수 높은 편,6530.0,179.0,2.0,2019. 9. 8.,"['영상', '역대', '회수']"
41,41,딩고 콘텐츠들이 궁금해 딩고 핫클립모음  | 딩고ZIP | 8월 다섯째 주,3687.0,73.0,1.0,2019. 9. 5.,"['모음', '콘텐츠', '클립']"
42,42,이해 안 가는 엄마의 행동들,182743.0,322.0,23.0,2019. 9. 5.,"['이해', '엄마', '행동']"
43,43,밀어내도 계속 들이대는 연하남 어떻게 해야 할까요 썰스데이1_레전드 썰,5035.0,115.0,0.0,2019. 9. 5.,"['연하', '내도']"
44,44,오늘 전 남친의 현 여친 생일 축하를 해주었다  썰스데이2_레전드 썰,8076.0,188.0,3.0,2019. 9. 4.,"['축하', '오늘', '남친', '생일']"
45,45,우리 엄마가 위험하다  엄마를 지켜라   보이스피싱  IBK 피싱스톱,5168.0,145.0,3.0,2019. 8. 8.,"['스톱', '위험', '엄마', '보이스']"
46,46,조정석 윤아가 딩고를 뒤집어 놓음ㅋㅋㅋ | 조정석 | 임윤아 | 고두심 | 김지영 | 엑시트 | yoona | 딩차딩차,86808.0,1000.0,16.0,2019. 7. 31.,"['시트', '고두', '조정', '지영', '아가']"
47,47,근본 없는 인터뷰 이세영편,337545.0,3000.0,60.0,2019. 7. 15.,"['근본', '이세영', '인터뷰']"
48,48,더 세로 크리에이터를 찾습니다,44216.0,113.0,1.0,2019. 7. 4.,"['세로', '크리']"
49,49,댄스 연습실에 솔라가 찾아온다면,398273.0,10000.0,85.0,2019. 7. 4.,"['댄스', '솔라', '연습실']"
50,50,신발가게 알바생이 이시언이라면,102478.0,1000.0,37.0,2019. 6. 22.,"['생이', '신발', '이시', '가게', '알바']"
51,51,여자 둘이 떠난 원주 여행 코스6,7171.0,185.0,0.0,2019. 6. 21.,"['여자', '원주', '코스', '여행']"
52,52,첫눈에 반한 오빠친구가 하필 I 역시 사람은 오래 봐야해@@,287405.0,1000.0,26.0,2019. 5. 31.,"['사람', '오빠', '첫눈', '친구']"
53,53,슬기로운 자취생활 박성광이 자취방에서 소리 지른 이유는,21861.0,84.0,7.0,2019. 5. 24.,"['소리', '생활', '이유', '자취방', '슬기', '자취']"
54,54,서울에서 혼자 산다면 꼭 알아둬야 할 것,47313.0,412.0,45.0,2019. 5. 17.,"['서울', '혼자']"
55,55,우리가 포기하지 않는 이유,10444.0,265.0,2.0,2019. 5. 15.,"['이유', '포기']"
