,token,view,count,view_count
0,가든,1899947.0,4,474986.75
1,가로수,1551429.0,3,517143.0
2,가면,79752.0,1,79752.0
3,가사,9146658.0,14,653332.7142857143
4,가수,271834.0,8,33979.25
5,가시,2196400.0,1,2196400.0
6,가시나,2257807.0,2,1128903.5
7,가요,1143077.0,3,381025.6666666667
8,가인,663500.0,2,331750.0
9,가주,30391.0,2,15195.5
10,가죽,123629.0,1,123629.0
11,가지,431465.0,1,431465.0
12,각도,9727.0,1,9727.0
13,갈래,146602.0,2,73301.0
14,감동,102687.0,1,102687.0
15,감성,1914001.0,8,239250.125
16,강남,292218.0,1,292218.0
17,강산,517640.0,1,517640.0
18,강시,61645.0,1,61645.0
19,개그,1185784.0,2,592892.0
20,개념,181172.0,1,181172.0
21,개론,25036.0,1,25036.0
22,거미,1285942.0,5,257188.4
23,거부,852002.0,1,852002.0
24,거울,2081249.0,3,693749.6666666666
25,거지,2497214.0,1,2497214.0
26,거짓말,13471.0,1,13471.0
27,걱정,120096.0,1,120096.0
28,건모,393553.0,4,98388.25
29,건물,356325.0,1,356325.0
30,건축학,25036.0,1,25036.0
31,검무,46351.0,1,46351.0
32,게다리,3614016.0,1,3614016.0
33,게임,6210363.0,13,477720.23076923075
34,겨울,405542.0,2,202771.0
35,결산,49852.0,1,49852.0
36,결혼식,6921600.0,10,692160.0
37,겸과,85642.0,1,85642.0
38,경리,177479.0,1,177479.0
39,경쟁,169979.0,1,169979.0
40,경훈,2196400.0,1,2196400.0
41,계절,1230016.0,2,615008.0
42,고고,25027.0,3,8342.333333333334
43,고대,162956.0,1,162956.0
44,고민,30374.0,1,30374.0
45,고백,979578.0,6,163263.0
46,고양이,276464.0,2,138232.0
47,고요,113657.0,2,56828.5
48,고음,2696254.0,5,539250.8
49,고전,369589.0,1,369589.0
50,고통,161373.0,1,161373.0
51,고하,13444.0,1,13444.0
52,고한,243027.0,1,243027.0
53,고향,349984.0,1,349984.0
54,고화질,5278294.0,4,1319573.5
55,골든,151075.0,2,75537.5
56,골목길,174891.0,1,174891.0
57,공개,5679565.0,12,473297.0833333333
58,공주,254341.0,2,127170.5
59,공중,33014.0,1,33014.0
60,공찬,9510.0,1,9510.0
