,Unnamed: 0,title,view,like,unlike,date,token
0,0,ENG SUB 우울한 나를 위로하는 방법에 대한 고민 여러분들은 어떤가요빙고트립 EP5Bingo Trip위너WINNER,30374.0,3000.0,8.0,20시간 전 최초 공개,"['우울', '방법', '위로', '고민', '빙고', '가요', '트립']"
1,1,이제 노래까지 노부부케미 폭발하는 다비치의 나의 오랜연인에게를 8D라이브로 8D Audio 라이브/이어폰서트 4K,28651.0,1000.0,2.0,2019. 12. 6.,"['나의', '연인', '이어폰', '부케', '라이브', '노부', '다비', '폭발', '노래']"
2,2,비하인드/EVENT 세정SEJEONG X 딩고 촬영 현장 폴라로이드 | 딩고가 만난 김클린 | 터널Tunnel | dingomusic,11256.0,913.0,0.0,2019. 12. 6.,"['터널', '촬영', '세정', '하인드', '현장', '폴라로', '클린', '이드']"
3,3,저세상 텐션으로 대환장파티 열고 간 아스트로  ASTRO - BLUE FLAME |ROLLER COASTER DANCE,106538.0,10000.0,25.0,2019. 12. 6.,"['열고', '저세상', '텐션', '환장', '파티', '스트로']"
4,4,ENG SUB 괜찮아 너 잘 하고 있어 | 세정SEJEONG - 터널 | TUNNEL | 4K | VISUAL FILM dingotunes | dingomusic,79773.0,7000.0,18.0,2019. 12. 6.,"['세정', '터널']"
5,5,첫 눈 연금 들러 온 발라드 세손-정승환☃️십이월 이십오일의 고백My christmas wish8D Audio 라이브/이어폰서트 4K,54921.0,3000.0,11.0,2019. 12. 6.,"['고백', '라이브', '발라드', '십이월', '이십오', '연금', '세손', '정승', '이어폰', '일의']"
6,6,ENG SUB 재생버튼 누르는 순간 계속 빵빵 터지는 역대급 빅톤의 고요속의 외침 영상ㅋㅋㅋ | 빅톤 의리게임 | EP4 | 딩고뮤직 | Dingo Music | VICTON,87865.0,7000.0,15.0,2019. 12. 5.,"['재생', '영상', '뮤직', '게임', '의리', '순간', '버튼', '외침', '고요', '역대']"
7,7,지치고 힘든 날 듣기 좋은 세정의 위로곡 BEST5 | 한숨 하루의 끝 꽃길 터널 U R | 4K | dingomusic,187481.0,10000.0,40.0,2019. 12. 4.,"['터널', '한숨', '세정', '위로', '하루']"
8,8,ENG SUB 꽉 막힌 하루 끝에서 널 기다릴게 | 세정SEJEONG - 터널 | SERO LIVE | 4K | Tunnel | dingomusic,533103.0,30000.0,140.0,2019. 12. 2.,"['세정', '터널', '하루']"
9,9,ENG SUB 세정 SEJEONG ‘터널 Tunnel’ Lyric Video Teaser리릭비디오 티저딩고뮤직Dingo Music,36567.0,3000.0,5.0,2019. 12. 1.,"['비디오', '세정', '터널', '뮤직']"
10,10,설현이 춤추다가 빵 터진 이유는에이오에이 - AOA 날 보러와요음향사고딩고뮤직dingomusic,352563.0,8000.0,77.0,2019. 11. 30.,"['음향', '뮤직', '사고', '이유', '에이', '와요']"
11,11,ENG SUB 꽃길 이후 3년만에 솔로곡 발표하는 김세정 | 세정SEJEONG - 터널 | Tunnel | TEASER | dingomusic,83982.0,4000.0,19.0,2019. 11. 30.,"['터널', '발표', '세정', '솔로', '이후']"
12,12,ENG SUB SOSO하게 백일장 할랬더니 아무말페스티벌 열려버린 위너빙고트립 EP4Bingo Trip위너WINNER,53174.0,5000.0,15.0,최초 공개: 2019. 11. 29.,"['백일장', '아무말', '빙고', '트립', '페스티벌']"
13,13,ENG SUB 데뷔 후 처음으로 손절 직전까지 치열하게 싸운 그들  | 빅톤 의리게임 | EP3 | 딩고뮤직 | Dingo Music | VICTON,94297.0,7000.0,17.0,2019. 11. 29.,"['처음', '뮤직', '게임', '치열', '의리', '데뷔', '직전']"
14,14,AOA - 날 보러 와요 Come See Me | Performance video 4K | MOVE REC | DINGO MUSIC,330404.0,20000.0,160.0,2019. 11. 28.,[]
15,15,ENG SUB 위로가 필요한 당신에게 전하는 세정의 따뜻한 한마디 자기전에  | 세정SEJEONG | 터널 | DINGO MUSIC,47886.0,3000.0,12.0,2019. 11. 28.,"['필요', '터널', '자기', '세정', '위로', '한마디']"
16,16,노을 Noel - 늦은 밤 너의 집 앞 골목길에서 Late Night세로라이브딩고뮤직Dingo Music,174891.0,2000.0,72.0,2019. 11. 26.,"['라이브', '뮤직', '골목길', '세로', '노을']"
17,17,유빈 Yubin - 무성영화 Feat윤미래세로라이브딩고뮤직Dingo Music,32207.0,1000.0,20.0,2019. 11. 24.,"['성영', '라이브', '뮤직', '미래세']"
18,18,이슬라이브  자이언티 - 5월의 밤 May | 낮술 한 잔 땡기고 듣는 꺼내먹어요 + 신곡 | Tipsy Live | 딩고뮤직,150920.0,1000.0,32.0,2019. 11. 23.,"['이언', '이슬', '라이브', '뮤직', '신곡']"
19,19,ENG SUB 위너가 잠든 후에  여기 자면서도 미모 열일하는 꽃도령 있음 빙고트립 EP3Bingo Trip위너WINNER,100724.0,7000.0,21.0,최초 공개: 2019. 11. 22.,"['도령', '열일', '빙고', '트립', '있음', '미모']"
20,20,4K 아스트로 ASTRO - BLUE FLAME | Performance video | MOVE REC,325282.0,30000.0,66.0,2019. 11. 21.,['스트로']
21,21,ENG SUB 데뷔 후 역대급 모습으로 휴게소에 나타난 아이돌 | 빅톤 의리게임 | EP2 | 딩고뮤직 | Dingo Music | VICTON,115051.0,8000.0,11.0,2019. 11. 21.,"['뮤직', '게임', '의리', '모습', '데뷔', '휴게', '역대', '아이']"
