,title,view,like,unlike,date
0,ENG SUB 우울한 나를 위로하는 방법에 대한 고민 여러분들은 어떤가요빙고트립 EP5Bingo Trip위너WINNER,조회수 30374회,3.3천,8,20시간 전 최초 공개
1,이제 노래까지 노부부케미 폭발하는 다비치의 나의 오랜연인에게를 8D라이브로 8D Audio 라이브/이어폰서트 4K,조회수 28651회,1.4천,2,2019. 12. 6.
2,비하인드/EVENT 세정SEJEONG X 딩고 촬영 현장 폴라로이드 | 딩고가 만난 김클린 | 터널Tunnel | dingomusic,조회수 11256회,913,0,2019. 12. 6.
3,저세상 텐션으로 대환장파티 열고 간 아스트로  ASTRO - BLUE FLAME |ROLLER COASTER DANCE,조회수 106538회,1.4만,25,2019. 12. 6.
4,ENG SUB 괜찮아 너 잘 하고 있어 | 세정SEJEONG - 터널 | TUNNEL | 4K | VISUAL FILM dingotunes | dingomusic,조회수 79773회,7.9천,18,2019. 12. 6.
5,첫 눈 연금 들러 온 발라드 세손-정승환☃️십이월 이십오일의 고백My christmas wish8D Audio 라이브/이어폰서트 4K,조회수 54921회,3천,11,2019. 12. 6.
6,ENG SUB 재생버튼 누르는 순간 계속 빵빵 터지는 역대급 빅톤의 고요속의 외침 영상ㅋㅋㅋ | 빅톤 의리게임 | EP4 | 딩고뮤직 | Dingo Music | VICTON,조회수 87865회,7.5천,15,2019. 12. 5.
7,지치고 힘든 날 듣기 좋은 세정의 위로곡 BEST5 | 한숨 하루의 끝 꽃길 터널 U R | 4K | dingomusic,조회수 187481회,1.5만,40,2019. 12. 4.
8,ENG SUB 꽉 막힌 하루 끝에서 널 기다릴게 | 세정SEJEONG - 터널 | SERO LIVE | 4K | Tunnel | dingomusic,조회수 533103회,3.2만,140,2019. 12. 2.
9,ENG SUB 세정 SEJEONG ‘터널 Tunnel’ Lyric Video Teaser리릭비디오 티저딩고뮤직Dingo Music,조회수 36567회,3천,5,2019. 12. 1.
10,설현이 춤추다가 빵 터진 이유는에이오에이 - AOA 날 보러와요음향사고딩고뮤직dingomusic,조회수 352563회,8.8천,77,2019. 11. 30.
11,ENG SUB 꽃길 이후 3년만에 솔로곡 발표하는 김세정 | 세정SEJEONG - 터널 | Tunnel | TEASER | dingomusic,조회수 83982회,4.8천,19,2019. 11. 30.
12,ENG SUB SOSO하게 백일장 할랬더니 아무말페스티벌 열려버린 위너빙고트립 EP4Bingo Trip위너WINNER,조회수 53174회,5천,15,최초 공개: 2019. 11. 29.
13,ENG SUB 데뷔 후 처음으로 손절 직전까지 치열하게 싸운 그들  | 빅톤 의리게임 | EP3 | 딩고뮤직 | Dingo Music | VICTON,조회수 94297회,7.1천,17,2019. 11. 29.
14,AOA - 날 보러 와요 Come See Me | Performance video 4K | MOVE REC | DINGO MUSIC,조회수 330404회,2.3만,160,2019. 11. 28.
15,ENG SUB 위로가 필요한 당신에게 전하는 세정의 따뜻한 한마디 자기전에  | 세정SEJEONG | 터널 | DINGO MUSIC,조회수 47886회,3천,12,2019. 11. 28.
16,노을 Noel - 늦은 밤 너의 집 앞 골목길에서 Late Night세로라이브딩고뮤직Dingo Music,조회수 174891회,2.5천,72,2019. 11. 26.
17,유빈 Yubin - 무성영화 Feat윤미래세로라이브딩고뮤직Dingo Music,조회수 32207회,1.2천,20,2019. 11. 24.
18,이슬라이브  자이언티 - 5월의 밤 May | 낮술 한 잔 땡기고 듣는 꺼내먹어요 + 신곡 | Tipsy Live | 딩고뮤직,조회수 150920회,1.5천,32,2019. 11. 23.
19,ENG SUB 위너가 잠든 후에  여기 자면서도 미모 열일하는 꽃도령 있음 빙고트립 EP3Bingo Trip위너WINNER,조회수 100724회,7.7천,21,최초 공개: 2019. 11. 22.
20,4K 아스트로 ASTRO - BLUE FLAME | Performance video | MOVE REC,조회수 325282회,3.2만,66,2019. 11. 21.
21,ENG SUB 데뷔 후 역대급 모습으로 휴게소에 나타난 아이돌 | 빅톤 의리게임 | EP2 | 딩고뮤직 | Dingo Music | VICTON,조회수 115051회,8.1천,11,2019. 11. 21.
